result_dir,data_layer,role,dataset,backend_slug,backend_display,exact_llm_models,llm_backends,transport_variants,frozen_config_refs,embedded_config_count,manifest_versions,manifest_paths,calculator_protocols,summary_file,summary_rows,observed_case_count,observed_variant_count,result_json_count,traj_count,paper_cited_policy,naming_flags,governance_note
research/results/canonical_raw/cmu20/grok4_ablation,canonical_raw,ablation,CMU20,grok4,Grok-4,grok-4-0709,xai,xai-official-openai-compatible,research/agent_eval/configs/frozen_config_xai_grok4.json; research/results/run_configs/frozen_config_grok4_openrouter_recovery.json,65,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,100,20,5,85,130,yes,backend_short_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs.
research/results/canonical_raw/cmu20/heuristic_baseline,canonical_raw,baseline_heuristic,CMU20,heuristic,heuristic baseline,not_applicable_heuristic_baseline,,,,0,,datasets/cmu20/cmu20_manifest.csv,,summary.csv,20,20,0,20,0,yes,,
research/results/canonical_raw/cmu20/openai_gpt54_ablation,canonical_raw,ablation,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,90,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,100,20,5,90,180,yes,backend_short_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs.
research/results/canonical_raw/cmu20/random_baseline_n20,canonical_raw,baseline_random,CMU20,random,random baseline,not_applicable_random_baseline,,,,0,,datasets/cmu20/cmu20_manifest.csv,,summary.csv,20,20,0,20,0,yes,,
research/results/canonical_raw/ocd62/anthropic_sonnet46_ablation,canonical_raw,ablation,OCD62,anthropic_sonnet46,Claude Sonnet 4.6,claude-sonnet-4-6,anthropic,anthropic-official-openai-compatible; anthropic-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_anthropic_sonnet46.json,298,ocd62_manifest_v1,datasets/ocd62/ocd62_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,310,62,5,310,620,yes,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62/controls/mace_large_gpt54_ocd62_sample10_full,canonical_raw,active_control,OCD62,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,,research/agent_eval/configs/frozen_config_openai_gpt54.json,10,,datasets/ocd62/ocd62_manifest.csv,mace:model=large:device=cuda:precision=float64:dispersion=True:fmax=0.05,ablation_summary.csv,10,10,1,10,20,yes,,
research/results/canonical_raw/ocd62/gemini_ablation,canonical_raw,ablation,OCD62,gemini,Gemini 2.5 Pro,gemini-2.5-pro; google/gemini-2.5-pro,google_vertexai; openrouter,openrouter-official-gemini25pro-one-shot; vertex-ai-direct,research/agent_eval/configs/frozen_config.json; research/agent_eval/configs/frozen_config_gemini25pro_vertexai.json; research/agent_eval/configs/frozen_config_gemini25pro_openrouter.json,227,ocd62_manifest_v1,datasets/ocd62/ocd62_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,310,62,5,310,620,yes,backend_short_label; mixed_model_ids; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Embedded config snapshots contain multiple model IDs; inspect per-case config.json before aggregating. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62/grok4_ablation,canonical_raw,ablation,OCD62,grok4,Grok-4,grok-4-0709; x-ai/grok-4,openrouter; xai,grok4-compatible-recovery; xai-official-openai-compatible; xai-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_xai_grok4.json; research/results/run_configs/frozen_config_grok4_openrouter_recovery.json,235,ocd62_manifest_v1,datasets/ocd62/ocd62_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,310,62,5,310,620,yes,backend_short_label; mixed_model_ids; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Embedded config snapshots contain multiple model IDs; inspect per-case config.json before aggregating. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62/heuristic_baseline,canonical_raw,baseline_heuristic,OCD62,heuristic,heuristic baseline,not_applicable_heuristic_baseline,,,,0,,datasets/ocd62/ocd62_manifest.csv,,summary.csv,62,62,0,62,0,yes,,
research/results/canonical_raw/ocd62/openai_gpt54_ablation,canonical_raw,ablation,OCD62,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions; openai-official-chatcompletions-one-shot,research/agent_eval/configs/frozen_config_openai_gpt54.json,310,ocd62_manifest_v1,datasets/ocd62/ocd62_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,310,62,5,310,620,yes,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62/random_baseline_n20,canonical_raw,baseline_random,OCD62,random,random baseline,not_applicable_random_baseline,,,,0,,datasets/ocd62/ocd62_manifest.csv,,summary.csv,62,62,0,62,0,yes,,
research/results/canonical_raw/ocd62_overlap12/run1/anthropic_sonnet46_ablation,canonical_raw,reproducibility_ablation,OCD62,anthropic_sonnet46,Claude Sonnet 4.6,claude-sonnet-4-6,anthropic,anthropic-official-openai-compatible; anthropic-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_anthropic_sonnet46.json,57,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation,canonical_raw,reproducibility_ablation,OCD62,gemini,Gemini 2.5 Pro,gemini-2.5-pro; google/gemini-2.5-pro,google_vertexai; openrouter,openrouter-official-gemini25pro-one-shot; vertex-ai-direct,research/agent_eval/configs/frozen_config.json; research/agent_eval/configs/frozen_config_gemini25pro_vertexai.json; research/agent_eval/configs/frozen_config_gemini25pro_openrouter.json,44,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; mixed_model_ids; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Embedded config snapshots contain multiple model IDs; inspect per-case config.json before aggregating. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation,canonical_raw,reproducibility_ablation,OCD62,grok4,Grok-4,grok-4-0709; x-ai/grok-4,openrouter; xai,grok4-compatible-recovery; xai-official-openai-compatible; xai-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_xai_grok4.json; research/results/run_configs/frozen_config_grok4_openrouter_recovery.json,47,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; mixed_model_ids; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Embedded config snapshots contain multiple model IDs; inspect per-case config.json before aggregating. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run1/openai_gpt54_ablation,canonical_raw,reproducibility_ablation,OCD62,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions; openai-official-chatcompletions-one-shot,research/agent_eval/configs/frozen_config_openai_gpt54.json,60,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run2/anthropic_sonnet46_ablation,canonical_raw,reproducibility_ablation,OCD62,anthropic_sonnet46,Claude Sonnet 4.6,claude-sonnet-4-6,anthropic,anthropic-official-openai-compatible; anthropic-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_anthropic_sonnet46.json,60,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run2/gemini_ablation,canonical_raw,reproducibility_ablation,OCD62,gemini,Gemini 2.5 Pro,gemini-2.5-pro,google_vertexai,vertex-ai-direct,research/agent_eval/configs/frozen_config.json; research/agent_eval/configs/frozen_config_gemini25pro_vertexai.json; research/agent_eval/configs/frozen_config_gemini25pro_openrouter.json,60,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run2/grok4_ablation,canonical_raw,reproducibility_ablation,OCD62,grok4,Grok-4,grok-4-0709,xai,xai-official-openai-compatible; xai-official-openai-compatible-one-shot,research/agent_eval/configs/frozen_config_xai_grok4.json; research/results/run_configs/frozen_config_grok4_openrouter_recovery.json,48,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,118,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
research/results/canonical_raw/ocd62_overlap12/run2/openai_gpt54_ablation,canonical_raw,reproducibility_ablation,OCD62,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions; openai-official-chatcompletions-one-shot,research/agent_eval/configs/frozen_config_openai_gpt54.json,60,ocd62_overlap12_manifest_v1,datasets/ocd62_overlap12/overlap12_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,60,12,5,60,120,review_required,backend_short_label; manifest_version_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Manifest version label is documented here; use manifest_paths for the actual frozen file.
